Date,GEO,Sex,Characteristics,Estimates,UOM,VALUE
2017/2018,Ontario,Females,"Lowest income, household income",Percentage of persons,Percent,42
2017/2018,Ontario,Females,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,40.1
2017/2018,Ontario,Females,"Lowest income, household income","High 95% confidence interval, percentage",Percent,44
2017/2018,Ontario,Females,"Middle income, household income",Number of persons,Number,683600
2017/2018,Ontario,Females,"Middle income, household income",Percentage of persons,Percent,36.2
2017/2018,Ontario,Females,"Middle income, household income","Low 95% confidence interval, percentage",Percent,34
2017/2018,Ontario,Females,"Middle income, household income","High 95% confidence interval, percentage",Percent,38.4
2017/2018,Ontario,Females,"Highest income, household income",Number of persons,Number,524500
2017/2018,Ontario,Females,"Highest income, household income",Percentage of persons,Percent,28.5
2017/2018,Ontario,Females,"Highest income, household income","Low 95% confidence interval, percentage",Percent,26.6
2017/2018,Ontario,Females,"Highest income, household income","High 95% confidence interval, percentage",Percent,30.5
2017/2018,Ontario,Females,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,751100
2017/2018,Ontario,Females,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,35.8
2017/2018,Ontario,Females,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,33.5
2017/2018,Ontario,Females,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,38.2
2017/2018,Ontario,Females,"Non-immigrants, immigrant status",Number of persons,Number,1332500
2017/2018,Ontario,Females,"Non-immigrants, immigrant status",Percentage of persons,Percent,35.9
2017/2018,Ontario,Females,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,34.6
2017/2018,Ontario,Females,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,37.2
2017/2018,Ontario,Females,"Visible minority, visible minority or Indigenous",Number of persons,Number,500700
2017/2018,Ontario,Females,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,30
2017/2018,Ontario,Females,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,27.4
2017/2018,Ontario,Females,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,32.7
2017/2018,Ontario,Females,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,62000
2017/2018,Ontario,Females,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,41.4
2017/2018,Ontario,Females,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,34.6
2017/2018,Ontario,Females,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,48.6
2017/2018,Ontario,Females,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,1454400
2017/2018,Ontario,Females,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,37.9
2017/2018,Ontario,Females,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,36.6
2017/2018,Ontario,Females,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,39.3
2017/2018,Ontario,Females,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,Ontario,Females,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,Ontario,Females,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,Ontario,Females,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,Manitoba,Both sexes,"Total, selected characteristics",Number of persons,Number,397100
2017/2018,Manitoba,Both sexes,"Total, selected characteristics",Percentage of persons,Percent,40.8
2017/2018,Manitoba,Both sexes,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,38.8
2017/2018,Manitoba,Both sexes,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,42.7
2017/2018,Manitoba,Both sexes,"High school or less, household education",Number of persons,Number,112400
2017/2018,Manitoba,Both sexes,"High school or less, household education",Percentage of persons,Percent,46.7
2017/2018,Manitoba,Both sexes,"High school or less, household education","Low 95% confidence interval, percentage",Percent,43
2017/2018,Manitoba,Both sexes,"High school or less, household education","High 95% confidence interval, percentage",Percent,50.5
2017/2018,Manitoba,Both sexes,"At least post-secondary education, household education",Number of persons,Number,271400
2017/2018,Manitoba,Both sexes,"At least post-secondary education, household education",Percentage of persons,Percent,38.9
2017/2018,Manitoba,Both sexes,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,36.6
2017/2018,Manitoba,Both sexes,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,41.3
2017/2018,Manitoba,Both sexes,"Lowest income, household income",Number of persons,Number,128800
2017/2018,Manitoba,Both sexes,"Lowest income, household income",Percentage of persons,Percent,39.7
2017/2018,Manitoba,Both sexes,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,36.5
2017/2018,Manitoba,Both sexes,"Lowest income, household income","High 95% confidence interval, percentage",Percent,42.9
2017/2018,Manitoba,Both sexes,"Middle income, household income",Number of persons,Number,143700
2017/2018,Manitoba,Both sexes,"Middle income, household income",Percentage of persons,Percent,44.3
2017/2018,Manitoba,Both sexes,"Middle income, household income","Low 95% confidence interval, percentage",Percent,40.3
2017/2018,Manitoba,Both sexes,"Middle income, household income","High 95% confidence interval, percentage",Percent,48.3
2017/2018,Manitoba,Both sexes,"Highest income, household income",Number of persons,Number,124500
2017/2018,Manitoba,Both sexes,"Highest income, household income",Percentage of persons,Percent,38.3
2017/2018,Manitoba,Both sexes,"Highest income, household income","Low 95% confidence interval, percentage",Percent,35
2017/2018,Manitoba,Both sexes,"Highest income, household income","High 95% confidence interval, percentage",Percent,41.8
2017/2018,Manitoba,Both sexes,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,76100
2017/2018,Manitoba,Both sexes,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,31.2
2017/2018,Manitoba,Both sexes,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,27
2017/2018,Manitoba,Both sexes,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,35.6
2017/2018,Manitoba,Both sexes,"Non-immigrants, immigrant status",Number of persons,Number,321000
2017/2018,Manitoba,Both sexes,"Non-immigrants, immigrant status",Percentage of persons,Percent,44
2017/2018,Manitoba,Both sexes,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,41.7
2017/2018,Manitoba,Both sexes,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,46.3
2017/2018,Manitoba,Both sexes,"Visible minority, visible minority or Indigenous",Number of persons,Number,57000
2017/2018,Manitoba,Both sexes,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,28.3
2017/2018,Manitoba,Both sexes,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,23.4
2017/2018,Manitoba,Both sexes,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,33.8
2017/2018,Manitoba,Both sexes,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,46900
2017/2018,Manitoba,Both sexes,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,45.5
2017/2018,Manitoba,Both sexes,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,39.2
2017/2018,Manitoba,Both sexes,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,51.9
2017/2018,Manitoba,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,292000
2017/2018,Manitoba,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,43.9
2017/2018,Manitoba,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,41.5
2017/2018,Manitoba,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,46.3
2017/2018,Manitoba,Both sexes,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,Manitoba,Both sexes,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,Manitoba,Both sexes,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,Manitoba,Both sexes,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,Manitoba,Males,"Total, selected characteristics",Number of persons,Number,202300
2017/2018,Manitoba,Males,"Total, selected characteristics",Percentage of persons,Percent,42.1
2017/2018,Manitoba,Males,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,39.2
2017/2018,Manitoba,Males,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,45
2017/2018,Manitoba,Males,"High school or less, household education",Number of persons,Number,51000
2017/2018,Manitoba,Males,"High school or less, household education",Percentage of persons,Percent,44.1
2017/2018,Manitoba,Males,"High school or less, household education","Low 95% confidence interval, percentage",Percent,38.6
2017/2018,Manitoba,Males,"High school or less, household education","High 95% confidence interval, percentage",Percent,49.6
2017/2018,Manitoba,Males,"At least post-secondary education, household education",Number of persons,Number,144800
2017/2018,Manitoba,Males,"At least post-secondary education, household education",Percentage of persons,Percent,42.2
2017/2018,Manitoba,Males,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,38.6
2017/2018,Manitoba,Males,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,46
2017/2018,Manitoba,Males,"Lowest income, household income",Number of persons,Number,55000
2017/2018,Manitoba,Males,"Lowest income, household income",Percentage of persons,Percent,38
2017/2018,Manitoba,Males,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,33.1
2017/2018,Manitoba,Males,"Lowest income, household income","High 95% confidence interval, percentage",Percent,43.2
2017/2018,Manitoba,Males,"Middle income, household income",Number of persons,Number,74200
2017/2018,Manitoba,Males,"Middle income, household income",Percentage of persons,Percent,44.3
2017/2018,Manitoba,Males,"Middle income, household income","Low 95% confidence interval, percentage",Percent,38.8
2017/2018,Manitoba,Males,"Middle income, household income","High 95% confidence interval, percentage",Percent,50
2017/2018,Manitoba,Males,"Highest income, household income",Number of persons,Number,73100
2017/2018,Manitoba,Males,"Highest income, household income",Percentage of persons,Percent,43.2
2017/2018,Manitoba,Males,"Highest income, household income","Low 95% confidence interval, percentage",Percent,38.2
2017/2018,Manitoba,Males,"Highest income, household income","High 95% confidence interval, percentage",Percent,48.4
2017/2018,Manitoba,Males,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,37800
2017/2018,Manitoba,Males,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,30.9
2017/2018,Manitoba,Males,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,24.7
2017/2018,Manitoba,Males,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,37.8
2017/2018,Manitoba,Males,"Non-immigrants, immigrant status",Number of persons,Number,164500
2017/2018,Manitoba,Males,"Non-immigrants, immigrant status",Percentage of persons,Percent,45.9
2017/2018,Manitoba,Males,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,42.7
2017/2018,Manitoba,Males,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,49.1
2017/2018,Manitoba,Males,"Visible minority, visible minority or Indigenous",Number of persons,Number,31300
2017/2018,Manitoba,Males,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,28.6
2017/2018,Manitoba,Males,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,21.8
2017/2018,Manitoba,Males,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,36.6
2017/2018,Manitoba,Males,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,19000
2017/2018,Manitoba,Males,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,41.7
2017/2018,Manitoba,Males,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,33
2017/2018,Manitoba,Males,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,51
2017/2018,Manitoba,Males,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,151700
2017/2018,Manitoba,Males,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,46.8
2017/2018,Manitoba,Males,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,43.4
2017/2018,Manitoba,Males,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,50.2
2017/2018,Manitoba,Males,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,Manitoba,Males,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,Manitoba,Males,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,Manitoba,Males,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,Manitoba,Females,"Total, selected characteristics",Number of persons,Number,194700
2017/2018,Manitoba,Females,"Total, selected characteristics",Percentage of persons,Percent,39.5
2017/2018,Manitoba,Females,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,37
2017/2018,Manitoba,Females,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,42
2017/2018,Manitoba,Females,"High school or less, household education",Number of persons,Number,61400
2017/2018,Manitoba,Females,"High school or less, household education",Percentage of persons,Percent,49.2
2017/2018,Manitoba,Females,"High school or less, household education","Low 95% confidence interval, percentage",Percent,44.3
2017/2018,Manitoba,Females,"High school or less, household education","High 95% confidence interval, percentage",Percent,54.2
2017/2018,Manitoba,Females,"At least post-secondary education, household education",Number of persons,Number,126600
2017/2018,Manitoba,Females,"At least post-secondary education, household education",Percentage of persons,Percent,35.7
2017/2018,Manitoba,Females,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,32.7
2017/2018,Manitoba,Females,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,38.8
2017/2018,Manitoba,Females,"Lowest income, household income",Number of persons,Number,73700
2017/2018,Manitoba,Females,"Lowest income, household income",Percentage of persons,Percent,41
2017/2018,Manitoba,Females,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,37.1
2017/2018,Manitoba,Females,"Lowest income, household income","High 95% confidence interval, percentage",Percent,44.9
2017/2018,Manitoba,Females,"Middle income, household income",Number of persons,Number,69500
2017/2018,Manitoba,Females,"Middle income, household income",Percentage of persons,Percent,44.2
2017/2018,Manitoba,Females,"Middle income, household income","Low 95% confidence interval, percentage",Percent,39.1
2017/2018,Manitoba,Females,"Middle income, household income","High 95% confidence interval, percentage",Percent,49.5
2017/2018,Manitoba,Females,"Highest income, household income",Number of persons,Number,51500
2017/2018,Manitoba,Females,"Highest income, household income",Percentage of persons,Percent,33
2017/2018,Manitoba,Females,"Highest income, household income","Low 95% confidence interval, percentage",Percent,29
2017/2018,Manitoba,Females,"Highest income, household income","High 95% confidence interval, percentage",Percent,37.4
2017/2018,Manitoba,Females,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,38300
2017/2018,Manitoba,Females,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,31.4
2017/2018,Manitoba,Females,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,26.2
2017/2018,Manitoba,Females,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,37.2
2017/2018,Manitoba,Females,"Non-immigrants, immigrant status",Number of persons,Number,156500
2017/2018,Manitoba,Females,"Non-immigrants, immigrant status",Percentage of persons,Percent,42.2
2017/2018,Manitoba,Females,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,39.2
2017/2018,Manitoba,Females,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,45.2
2017/2018,Manitoba,Females,"Visible minority, visible minority or Indigenous",Number of persons,Number,25700
2017/2018,Manitoba,Females,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,27.9
2017/2018,Manitoba,Females,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,21.4
2017/2018,Manitoba,Females,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,35.5
2017/2018,Manitoba,Females,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,28000
2017/2018,Manitoba,Females,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,48.4
2017/2018,Manitoba,Females,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,39.6
2017/2018,Manitoba,Females,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,57.4
2017/2018,Manitoba,Females,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,140200
2017/2018,Manitoba,Females,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,41.2
2017/2018,Manitoba,Females,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,38.1
2017/2018,Manitoba,Females,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,44.3
2017/2018,Manitoba,Females,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,Manitoba,Females,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,Manitoba,Females,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,Manitoba,Females,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,Saskatchewan,Both sexes,"Total, selected characteristics",Number of persons,Number,361200
2017/2018,Saskatchewan,Both sexes,"Total, selected characteristics",Percentage of persons,Percent,42.8
2017/2018,Saskatchewan,Both sexes,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,40.8
2017/2018,Saskatchewan,Both sexes,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,44.8
2017/2018,Saskatchewan,Both sexes,"High school or less, household education",Number of persons,Number,116400
2017/2018,Saskatchewan,Both sexes,"High school or less, household education",Percentage of persons,Percent,52.8
2017/2018,Saskatchewan,Both sexes,"High school or less, household education","Low 95% confidence interval, percentage",Percent,48.8
2017/2018,Saskatchewan,Both sexes,"High school or less, household education","High 95% confidence interval, percentage",Percent,56.8
2017/2018,Saskatchewan,Both sexes,"At least post-secondary education, household education",Number of persons,Number,232900
2017/2018,Saskatchewan,Both sexes,"At least post-secondary education, household education",Percentage of persons,Percent,39.2
2017/2018,Saskatchewan,Both sexes,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,36.6
2017/2018,Saskatchewan,Both sexes,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,41.8
2017/2018,Saskatchewan,Both sexes,"Lowest income, household income",Number of persons,Number,132900
2017/2018,Saskatchewan,Both sexes,"Lowest income, household income",Percentage of persons,Percent,47.3
2017/2018,Saskatchewan,Both sexes,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,43.9
2017/2018,Saskatchewan,Both sexes,"Lowest income, household income","High 95% confidence interval, percentage",Percent,50.7
2017/2018,Saskatchewan,Both sexes,"Middle income, household income",Number of persons,Number,125100
2017/2018,Saskatchewan,Both sexes,"Middle income, household income",Percentage of persons,Percent,44.5
2017/2018,Saskatchewan,Both sexes,"Middle income, household income","Low 95% confidence interval, percentage",Percent,40.7
2017/2018,Saskatchewan,Both sexes,"Middle income, household income","High 95% confidence interval, percentage",Percent,48.3
2017/2018,Saskatchewan,Both sexes,"Highest income, household income",Number of persons,Number,103200
2017/2018,Saskatchewan,Both sexes,"Highest income, household income",Percentage of persons,Percent,36.7
2017/2018,Saskatchewan,Both sexes,"Highest income, household income","Low 95% confidence interval, percentage",Percent,33.2
2017/2018,Saskatchewan,Both sexes,"Highest income, household income","High 95% confidence interval, percentage",Percent,40.3
2017/2018,Saskatchewan,Both sexes,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,36100
2017/2018,Saskatchewan,Both sexes,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,31.1
2017/2018,Saskatchewan,Both sexes,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,26
2017/2018,Saskatchewan,Both sexes,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,36.7
2017/2018,Saskatchewan,Both sexes,"Non-immigrants, immigrant status",Number of persons,Number,325100
2017/2018,Saskatchewan,Both sexes,"Non-immigrants, immigrant status",Percentage of persons,Percent,44.7
2017/2018,Saskatchewan,Both sexes,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,42.5
2017/2018,Saskatchewan,Both sexes,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,47
2017/2018,Saskatchewan,Both sexes,"Visible minority, visible minority or Indigenous",Number of persons,Number,26400
2017/2018,Saskatchewan,Both sexes,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,26.9
2017/2018,Saskatchewan,Both sexes,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,21.1
2017/2018,Saskatchewan,Both sexes,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,33.7
2017/2018,Saskatchewan,Both sexes,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,34000
2017/2018,Saskatchewan,Both sexes,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,42.6
2017/2018,Saskatchewan,Both sexes,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,35.8
2017/2018,Saskatchewan,Both sexes,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,49.7
2017/2018,Saskatchewan,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,299500
2017/2018,Saskatchewan,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,45.3
2017/2018,Saskatchewan,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,42.9
2017/2018,Saskatchewan,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,47.7
2017/2018,Saskatchewan,Both sexes,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,Saskatchewan,Both sexes,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,Saskatchewan,Both sexes,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,Saskatchewan,Both sexes,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,Saskatchewan,Males,"Total, selected characteristics",Number of persons,Number,187300
2017/2018,Saskatchewan,Males,"Total, selected characteristics",Percentage of persons,Percent,44.1
2017/2018,Saskatchewan,Males,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,41.2
2017/2018,Saskatchewan,Males,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,47.1
2017/2018,Saskatchewan,Males,"High school or less, household education",Number of persons,Number,56100
2017/2018,Saskatchewan,Males,"High school or less, household education",Percentage of persons,Percent,55.4
2017/2018,Saskatchewan,Males,"High school or less, household education","Low 95% confidence interval, percentage",Percent,49.6
2017/2018,Saskatchewan,Males,"High school or less, household education","High 95% confidence interval, percentage",Percent,61.1
2017/2018,Saskatchewan,Males,"At least post-secondary education, household education",Number of persons,Number,122100
2017/2018,Saskatchewan,Males,"At least post-secondary education, household education",Percentage of persons,Percent,40.2
2017/2018,Saskatchewan,Males,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,36.5
2017/2018,Saskatchewan,Males,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,43.9
2017/2018,Saskatchewan,Males,"Lowest income, household income",Number of persons,Number,59400
2017/2018,Saskatchewan,Males,"Lowest income, household income",Percentage of persons,Percent,48.8
2017/2018,Saskatchewan,Males,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,43.4
2017/2018,Saskatchewan,Males,"Lowest income, household income","High 95% confidence interval, percentage",Percent,54.3
2017/2018,Saskatchewan,Males,"Middle income, household income",Number of persons,Number,63400
2017/2018,Saskatchewan,Males,"Middle income, household income",Percentage of persons,Percent,45.6
2017/2018,Saskatchewan,Males,"Middle income, household income","Low 95% confidence interval, percentage",Percent,40.1
2017/2018,Saskatchewan,Males,"Middle income, household income","High 95% confidence interval, percentage",Percent,51.2
2017/2018,Saskatchewan,Males,"Highest income, household income",Number of persons,Number,64500
2017/2018,Saskatchewan,Males,"Highest income, household income",Percentage of persons,Percent,39.4
2017/2018,Saskatchewan,Males,"Highest income, household income","Low 95% confidence interval, percentage",Percent,34.4
2017/2018,Saskatchewan,Males,"Highest income, household income","High 95% confidence interval, percentage",Percent,44.7
2017/2018,Saskatchewan,Males,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,15800
2017/2018,Saskatchewan,Males,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,29.5
2017/2018,Saskatchewan,Males,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,22
2017/2018,Saskatchewan,Males,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,38.2
2017/2018,Saskatchewan,Males,"Non-immigrants, immigrant status",Number of persons,Number,171500
2017/2018,Saskatchewan,Males,"Non-immigrants, immigrant status",Percentage of persons,Percent,46.3
2017/2018,Saskatchewan,Males,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,43
2017/2018,Saskatchewan,Males,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,49.6
2017/2018,Saskatchewan,Males,"Visible minority, visible minority or Indigenous",Number of persons,Number,11000
2017/2018,Saskatchewan,Males,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,23.2
2017/2018,Saskatchewan,Males,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,15.2
2017/2018,Saskatchewan,Males,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,33.6
2017/2018,Saskatchewan,Males,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,15800
2017/2018,Saskatchewan,Males,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,43.8
2017/2018,Saskatchewan,Males,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,32.5
2017/2018,Saskatchewan,Males,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,55.8
2017/2018,Saskatchewan,Males,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,159900
2017/2018,Saskatchewan,Males,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,47.2
2017/2018,Saskatchewan,Males,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,43.7
2017/2018,Saskatchewan,Males,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,50.7
2017/2018,Saskatchewan,Males,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,Saskatchewan,Males,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,Saskatchewan,Males,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,Saskatchewan,Males,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,Saskatchewan,Females,"Total, selected characteristics",Number of persons,Number,173900
2017/2018,Saskatchewan,Females,"Total, selected characteristics",Percentage of persons,Percent,41.5
2017/2018,Saskatchewan,Females,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,38.9
2017/2018,Saskatchewan,Females,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,44.2
2017/2018,Saskatchewan,Females,"High school or less, household education",Number of persons,Number,60300
2017/2018,Saskatchewan,Females,"High school or less, household education",Percentage of persons,Percent,50.6
2017/2018,Saskatchewan,Females,"High school or less, household education","Low 95% confidence interval, percentage",Percent,45.2
2017/2018,Saskatchewan,Females,"High school or less, household education","High 95% confidence interval, percentage",Percent,56
2017/2018,Saskatchewan,Females,"At least post-secondary education, household education",Number of persons,Number,110800
